PW1	PW2	Weight	Nodes	Type
PA14_65410	PA14_45960	143.0		1.0
PA14_09260	PA14_04390	47.0		1.0
PA14_30650	PA14_52570	25.0		1.0
PA14_73370	PA14_44490	24.0		1.0
PA14_45960	PA14_30650	15.0		1.0
PA14_09260	PA14_45960	15.0		1.0
PA14_09260	PA14_32420	12.0		1.0
PA14_45960	PA14_42380	11.0		1.0
PA14_41870	PA14_73370	10.0		1.0
PA14_45960	PA14_44490	7.0		1.0
PA14_65410	PA14_73370	7.0		1.0
PA14_09260	PA14_46840	6.0		1.0
PA14_09260	PA14_41870	6.0		1.0
PA14_65410	PA14_44490	6.0		1.0
PA14_04390	PA14_32420	5.0		1.0
PA14_73370	PA14_04390	5.0		1.0
PA14_32420	PA14_45960	5.0		1.0
PA14_09260	PA14_73370	5.0		1.0
PA14_73370	PA14_45960	4.0		1.0
PA14_73370	PA14_06330	3.0		1.0
PA14_45960	PA14_52570	3.0		1.0
PA14_65410	PA14_20730	3.0		1.0
PA14_09260	PA14_30650	3.0		1.0
PA14_04390	PA14_45960	3.0		1.0
PA14_42380	PA14_44490	3.0		1.0
PA14_73370	PA14_42380	3.0		1.0
PA14_30650	PA14_44490	3.0		1.0
PA14_32420	PA14_41240	3.0		1.0
PA14_41870	PA14_45960	2.0		1.0
PA14_65410	PA14_32420	2.0		1.0
PA14_32420	PA14_30650	2.0		1.0
PA14_65410	PA14_06330	2.0		1.0
PA14_41240	PA14_62900	2.0		1.0
PA14_09260	PA14_44490	2.0		1.0
PA14_04390	PA14_44490	2.0		1.0
PA14_32420	PA14_46840	2.0		1.0
PA14_09260	PA14_65410	2.0		1.0
PA14_32420	PA14_42380	2.0		1.0
PA14_73370	PA14_32420	2.0		1.0
PA14_45960	PA14_41240	2.0		1.0
PA14_09260	PA14_42380	2.0		1.0
PA14_04390	PA14_46840	2.0		1.0
PA14_32420	PA14_44490	2.0		1.0
PA14_42380	PA14_62900	1.0		1.0
PA14_45960	PA14_46840	1.0		1.0
PA14_41870	PA14_32420	1.0		1.0
PA14_65410	PA14_07170	1.0		1.0
PA14_04390	PA14_30650	1.0		1.0
PA14_30650	PA14_41240	1.0		1.0
PA14_45960	PA14_37710	1.0		1.0
PA14_65280	PA14_37710	1.0		1.0
PA14_07170	PA14_32390	1.0		1.0
PA14_30650	PA14_50220	1.0		1.0
PA14_65410	PA14_53820	1.0		1.0
PA14_45960	PA14_53820	1.0		1.0
PA14_65410	PA14_04390	1.0		1.0
PA14_46840	PA14_49180	1.0		1.0
PA14_73370	PA14_41240	1.0		1.0
PA14_44490	PA14_07170	1.0		1.0
PA14_32420	PA14_37710	1.0		1.0
PA14_44490	PA14_65280	1.0		1.0
PA14_09260	PA14_07170	1.0		1.0
PA14_45960	PA14_25100	1.0		1.0
PA14_44490	PA14_20730	1.0		1.0
PA14_45960	PA14_20730	1.0		1.0
PA14_73370	PA14_07170	1.0		1.0
PA14_45960	PA14_07170	1.0		1.0
PA14_04390	PA14_07170	1.0		1.0
PA14_09260	PA14_06330	1.0		1.0
PA14_44490	PA14_06330	1.0		1.0
PA14_73370	PA14_30650	1.0		1.0
PA14_41870	PA14_42380	1.0		1.0
